<TICKER>,<PER>,date,time,open,high,low,close,volume,<OPENINT>
WIG20,60,20240424,100000,2507.53,2508.71,2490.46,2499.89,2113750,0
WIG20,60,20240424,110000,2499.73,2501.6,2474.04,2476,2935396,0
WIG20,60,20240424,120000,2476.72,2481.93,2476.11,2480.86,1884733,0
WIG20,60,20240424,130000,2480.07,2484.08,2467.53,2468.4,2260752,0
WIG20,60,20240424,140000,2468.49,2476.37,2468.37,2475.46,1419301,0
WIG20,60,20240424,150000,2475.21,2478.09,2468.33,2470.24,2365325,0
WIG20,60,20240424,160000,2469.75,2478.13,2467.82,2473.2,3002527,0
WIG20,60,20240424,170000,2472.89,2479.18,2469.17,2469.17,5577173,0
WIG20,60,20240425,100000,2476.84,2479.18,2460.96,2469.62,1945057,0
WIG20,60,20240425,110000,2469.71,2477.59,2467.85,2468.42,1432791,0
WIG20,60,20240425,120000,2468.42,2473.28,2465.85,2470.75,1738369,0
WIG20,60,20240425,130000,2470.85,2475.14,2466.72,2467.17,2004407,0
WIG20,60,20240425,140000,2465.2,2465.78,2456.49,2462.66,1824938,0
WIG20,60,20240425,150000,2462.17,2465.94,2447.95,2449.68,2116620,0
WIG20,60,20240425,160000,2449.43,2450.11,2435.89,2438.76,3730165,0
WIG20,60,20240425,170000,2439.21,2451.3,2432.61,2446.93,5377673,0
WIG20,60,20240426,100000,2474.36,2487.45,2469.7,2486.84,3039307,0
WIG20,60,20240426,110000,2486.62,2486.84,2472.91,2477.06,1675860,0
WIG20,60,20240426,120000,2477.19,2480.97,2473.65,2480.97,2054621,0
WIG20,60,20240426,130000,2480.82,2483.03,2477.75,2478.12,1855398,0
WIG20,60,20240426,140000,2478.06,2479.43,2470.14,2471.52,1308979,0
WIG20,60,20240426,150000,2471.89,2479.67,2466,2471.02,2206330,0
WIG20,60,20240426,160000,2471.03,2479.06,2470.11,2474.66,1819547,0
WIG20,60,20240426,170000,2474.62,2487.99,2473.65,2479.1,5554270,0
WIG20,60,20240429,100000,2487.9,2490.53,2475.98,2480.71,1285341,0
WIG20,60,20240429,110000,2480.94,2482.13,2472.14,2474.11,1343543,0
WIG20,60,20240429,120000,2474.11,2474.11,2459.86,2462.66,1845752,0
WIG20,60,20240429,130000,2462.4,2468.39,2461.8,2467.82,1581515,0
WIG20,60,20240429,140000,2467.95,2471.43,2465.59,2470.68,1171473,0
WIG20,60,20240429,150000,2471.02,2476.19,2468.45,2476.19,1606509,0
WIG20,60,20240429,160000,2475.99,2489.45,2474.47,2488.2,2442126,0
WIG20,60,20240429,170000,2488.35,2509.76,2486.94,2507.84,5989825,0
WIG20,60,20240430,100000,2512.34,2512.34,2491.36,2496.62,2325059,0
WIG20,60,20240430,110000,2497.16,2501.08,2491.32,2496.1,1384729,0
WIG20,60,20240430,120000,2495.9,2497.39,2491.49,2496.81,1198122,0
WIG20,60,20240430,130000,2496.48,2498.36,2493.05,2493.34,1089774,0
WIG20,60,20240430,140000,2493.54,2495.93,2491.6,2493.76,1359292,0
WIG20,60,20240430,150000,2493.76,2495.52,2480.96,2481.73,2124940,0
WIG20,60,20240430,160000,2481.96,2484.91,2471.82,2480.66,2377599,0
WIG20,60,20240430,170000,2480.98,2483.66,2473.74,2476.29,7141930,0
WIG20,60,20240502,100000,2487.7,2487.7,2468.13,2478.51,1202739,0
WIG20,60,20240502,110000,2478.1,2489.93,2477.21,2481.96,1299848,0
WIG20,60,20240502,120000,2483.04,2488.13,2478.98,2484.67,1117107,0
WIG20,60,20240502,130000,2484.63,2492.64,2478.75,2492.48,929618,0
WIG20,60,20240502,140000,2492.4,2493.84,2482.24,2482.33,1136744,0
WIG20,60,20240502,150000,2482.27,2489.06,2481.17,2481.17,1243352,0
WIG20,60,20240502,160000,2480.95,2483.09,2463.58,2463.58,1725403,0
